Code,Communes,Part_des_menages
02219,Coucy-la-Ville,5.9
02220,Coulonges-Cohan,2.3
02221,Coupru,0
02222,Courbes,0
02223,Courboin,8.3
02224,Courcelles-sur-Vesle,15.2
02225,Courchamps,12.5
02226,Courmelles,11.9
02227,Courmont,8.5
02228,Courtemont-Varennes,11.5
02229,Courtrizy-et-Fussigny,12.5
02230,Couvrelles,9.5
02231,Couvron-et-Aumencourt,15.9
02232,Coyolles,0
02233,Cramaille,0
02234,Craonne,0
02235,Craonnelle,0
02236,Crécy-au-Mont,3.9
02237,Crécy-sur-Serre,4.2
02238,Crépy,9.9
02239,Crézancy,7.1
02240,Croix-Fonsomme,4.3
02241,La Croix-sur-Ourcq,0
02242,Crouttes-sur-Marne,7.6
02243,Crouy,10.7
02244,Crupilly,0
02245,Cuffies,5.9
02246,Cugny,6.9
02248,Cuirieux,18.8
02249,Cuiry-Housse,0
02250,Cuiry-lès-Chaudardes,0
02251,Cuiry-lès-Iviers,0
02252,Cuissy-et-Geny,0
02253,Cuisy-en-Almont,11.8
02254,Cutry,0
02255,Cys-la-Commune,0
02256,Dagny-Lambercy,6.7
02257,Dallon,7.1
02258,Dammard,2.5
02259,Dampleux,10.5
02260,Danizy,11.5
02261,Dercy,6.1
02262,Deuillet,5.9
02263,Dhuizel,0
02264,Dizy-le-Gros,14.8
02265,Dohis,0
02266,Dolignon,0
02267,Dommiers,8.8
02268,Domptin,11.3
02269,Dorengt,6.3
02270,Douchy,26.7
02271,Dravegny,6.7
02272,Droizy,0
02273,Dury,5.3
02274,Ébouleau,5.3
02275,Effry,8.8
02276,Englancourt,0
02277,Épagny,9.4
02278,Éparcy,0
02279,Épaux-Bézu,7
02280,Épieds,13.3
02281,L'Épine-aux-Bois,5.1
02282,Eppes,9.5
02283,Erlon,21.7
02284,Erloy,0
02286,Esquéhéries,10.1
02287,Essigny-le-Grand,8.2
02288,Essigny-le-Petit,5.3
02289,Essises,2.8
02290,Essômes-sur-Marne,7.1
02291,Estrées,9.8
02292,Étampes-sur-Marne,3.9
02293,Étaves-et-Bocquiaux,7
02294,Étouvelles,4.5
02295,Étréaupont,4.3
02296,Étreillers,7.1
02297,Étrépilly,0
02298,Étreux,9
02299,Évergnicourt,5.4
02301,Faucoucourt,19.4
02302,Faverolles,7.4
02303,Fayet,7.2
02304,La Fère,14.4
02305,Fère-en-Tardenois,10.6
02306,La Ferté-Chevresis,4.2
02307,La Ferté-Milon,8
02308,Fesmy-le-Sart,12.5
02309,Festieux,7
02310,Fieulaine,7.4
02311,Filain,0
02312,La Flamengrie,9.4
02313,Flavigny-le-Grand-et-Beaurain,2.9
02315,Flavy-le-Martel,10.5
02316,Fleury,0
02317,Fluquières,9.5
02318,Folembray,7.2
02319,Fonsomme,8.2
02320,Fontaine-lès-Clercs,3.6
02321,Fontaine-lès-Vervins,9.6
02322,Fontaine-Notre-Dame,0
02323,Fontaine-Uterte,0
02324,Fontenelle,11.1
02325,Fontenelle-en-Brie,13
02326,Fontenoy,5
02327,Foreste,11.8
02328,Fossoy,5
02329,Fourdrain,4.9
02330,Francilly-Selency,9.1
02331,Franqueville,7.1
02332,Fresnes-en-Tardenois,13.6
02333,Fresnes,0
02334,Fresnoy-le-Grand,9.2
02335,Fressancourt,4.8
02336,Frières-Faillouël,6.8
02337,Froidestrées,0
02338,Froidmont-Cohartille,0
02339,Gandelu,10.3
02340,Gauchy,8
02341,Gercy,3.7
02342,Gergny,8.3
02343,Germaine,0
02344,Gernicourt,20
02345,Gibercourt,20
02346,Gizy,5.7
02347,Gland,6.3
02348,Glennes,9.5
02349,Goudelancourt-lès-Berrieux,0
02350,Goudelancourt-lès-Pierrepont,6.7
02351,Goussancourt,0
02352,Gouy,6.6
02353,Grandlup-et-Fay,8
02354,Grandrieux,0
02355,Gricourt,6.8
02356,Grisolles,5.6
02357,Gronard,0
02358,Grougis,17.1
02359,Grugies,9.3
02360,Guignicourt,9.4
02361,Guise,11.5
02362,Guivry,11.5
02363,Guny,2.2
02364,Guyencourt,4.3
02366,Hannapes,4.3
02367,Happencourt,0
02368,Haramont,1.9
02369,Harcigny,7.4
02370,Hargicourt,8.9
02371,Harly,8.4
02372,Hartennes-et-Taux,5.7
02373,Hary,4.3
02374,Lehaucourt,5.3
02375,Hautevesnes,0
02376,Hauteville,0
02377,Haution,0
02378,La Hérie,9.1
02379,Le Hérie-la-Viéville,4.3
02380,Hinacourt,0
02381,Hirson,11.8
02382,Holnon,6.5
02383,Homblières,9.8
02384,Houry,25
02385,Housset,6.2
02386,Iron,0
02387,Itancourt,11.1
02388,Iviers,8.3
02389,Jaulgonne,5.6
02390,Jeancourt,19.2
02391,Jeantes,0
02392,Joncourt,3.2
02393,Jouaignes,7.1
02395,Jumencourt,14.3
02396,Jumigny,0
02397,Jussy,5.4
02398,Juvigny,4.8
02399,Juvincourt-et-Damary,8.3
02400,Laffaux,8.3
02401,Laigny,12.5
02402,Lanchy,0
02403,Landifay-et-Bertaignemont,10.3
02404,Landouzy-la-Cour,22.2
02405,Landouzy-la-Ville,5.6
02406,Landricourt,18.2
02407,Laniscourt,5.6
02408,Laon,11.7
02409,Lappion,6.7
02410,Largny-sur-Automne,13
02411,Latilly,0
02412,Launoy,11.1
02413,Laval-en-Laonnois,4.2
02414,Lavaqueresse,11.1
02415,Laversine,0
02416,Lemé,8.9
02417,Lempire,0
02418,Lerzy,16.7
02419,Leschelle,0
02420,Lesdins,7.2
02421,Lesges,0
02422,Lesquielles-Saint-Germain,3.7
02423,Leuilly-sous-Coucy,10
02424,Leury,9.1
02425,Leuze,0
02426,Levergies,10.2
02427,Lhuys,0
02428,Licy-Clignon,25
02429,Lierval,0
02430,Liesse-Notre-Dame,6.3
02431,Liez,13.3
02432,Limé,5
02433,Lislet,8.3
02434,Lizy,0
02435,Logny-lès-Aubenton,0
02438,Longpont,8.7
02439,Longueval-Barbonval,7
02440,Lor,7.1
02441,Louâtre,5.3
02442,Loupeigne,9.1
02443,Lucy-le-Bocage,17.6
02444,Lugny,0
02445,Luzoir,6.5
02446,Ly-Fontaine,10
02447,Maast-et-Violaine,14.3
02448,Mâchecourt,0
02449,Macogny,20
02450,Macquigny,5.9
02451,Magny-la-Fosse,0
02452,Maissemy,4.5
02453,Maizy,2.5
02454,La Malmaison,5.1
02455,Malzy,0
02456,Manicamp,9.1
02457,Marchais,2.6
02458,Marchais-en-Brie,7.7
02459,Marcy,5.9
02460,Marcy-sous-Marle,0
02461,Marest-Dampcourt,2.9
02462,Mareuil-en-Dôle,4.3
02463,Marfontaine,0
02464,Margival,8.3
02465,Marigny-en-Orxois,4.3
02466,Marizy-Sainte-Geneviève,15.4
02467,Marizy-Saint-Mard,0
