code_com,code_dept,commune,part_des_menages
02001,02,Abbécourt,7.5
02002,02,Achery,10.0
02003,02,Acy,5.3
02004,02,Agnicourt-et-Séchelles,9.5
02005,02,Aguilcourt,5.4
02006,02,Aisonville-et-Bernoville,0.0
02007,02,Aizelles,8.3
02008,02,Aizy-Jouy,3.4
02009,02,Alaincourt,8.2
02010,02,Allemant,0.0
02011,02,Ambleny,6.3
02012,02,Ambrief,16.7
02013,02,Amifontaine,0.0
02014,02,Amigny-Rouy,2.9
02015,02,Ancienville,14.3
02016,02,Andelain,0.0
02017,02,Anguilcourt-le-Sart,0.0
02018,02,Anizy-le-Château,11.1
02019,02,Annois,2.6
02020,02,Any-Martin-Rieux,4.1
02021,02,Archon,0.0
02022,02,Arcy-Sainte-Restitue,0.0
02023,02,Armentières-sur-Ourcq,10.0
02024,02,Arrancy,0.0
02025,02,Artemps,15.6
02026,02,Artonges,5.6
02027,02,Assis-sur-Serre,5.3
02028,02,Athies-sous-Laon,7.9
02029,02,Attilly,6.9
02030,02,Aubencheul-aux-Bois,13.8
02031,02,Aubenton,12.5
02032,02,Aubigny-aux-Kaisnes,4.5
02033,02,Aubigny-en-Laonnois,16.7
02034,02,Audignicourt,0.0
02035,02,Audigny,0.0
02036,02,Augy,0.0
02037,02,Aulnois-sous-Laon,12.9
02038,02,Les Autels,0.0
02039,02,Autremencourt,5.9
02040,02,Autreppes,0.0
02041,02,Autreville,5.0
02042,02,Azy-sur-Marne,4.9
02043,02,Bagneux,20.0
02044,02,Bancigny,0.0
02046,02,Barenton-Bugny,11.9
02047,02,Barenton-Cel,15.4
02048,02,Barenton-sur-Serre,0.0
02049,02,Barisis-aux-Bois,6.6
02050,02,Barzy-en-Thiérache,9.7
02051,02,Barzy-sur-Marne,3.0
02052,02,Bassoles-Aulers,6.7
02053,02,Baulne-en-Brie,13.3
02054,02,Bazoches-sur-Vesles,4.7
02055,02,Beaumé,10.0
02056,02,Beaumont-en-Beine,0.0
02057,02,Beaurevoir,9.5
02058,02,Beaurieux,8.1
02059,02,Beautor,10.4
02060,02,Beauvois-en-Vermandois,7.1
02061,02,Becquigny,8.3
02062,02,Belleau,7.7
02063,02,Bellenglise,0.0
02064,02,Belleu,9.8
02065,02,Bellicourt,4.8
02066,02,Benay,0.0
02067,02,Bergues-sur-Sambre,4.3
02068,02,Berlancourt,12.5
02069,02,Berlise,16.7
02070,02,Bernot,6.4
02071,02,Berny-Rivière,6.3
02072,02,Berrieux,15.0
02073,02,Berry-au-Bac,9.3
02074,02,Bertaucourt-Epourdon,8.5
02075,02,Berthenicourt,0.0
02076,02,Bertricourt,0.0
02077,02,Berzy-le-Sec,5.0
02078,02,Besmé,6.7
02079,02,Besmont,6.3
02080,02,Besny-et-Loizy,3.5
02081,02,Béthancourt-en-Vaux,12.8
02082,02,Beugneux,0.0
02083,02,Beuvardes,8.6
02084,02,Bézu-le-Guéry,3.8
02085,02,Bézu-Saint-Germain,9.6
02086,02,Bichancourt,6.0
02087,02,Bieuxy,0.0
02088,02,Bièvres,14.3
02089,02,Billy-sur-Aisne,4.9
02090,02,Billy-sur-Ourcq,10.5
02091,02,Blanzy-lès-Fismes,0.0
02093,02,Blérancourt,9.3
02094,02,Blesmes,0.0
02095,02,Bohain-en-Vermandois,11.3
02096,02,Bois-lès-Pargny,5.3
02097,02,Boncourt,4.0
02098,02,Bonneil,5.3
02099,02,Bonnesvalyn,0.0
02100,02,Bony,10.0
02101,02,Bosmont-sur-Serre,5.0
02102,02,Bouconville-Vauclair,5.3
02103,02,Boué,9.8
02104,02,Bouffignereux,0.0
02105,02,Bouresches,5.6
02106,02,Bourg-et-Comin,8.5
02107,02,Bourguignon-sous-Coucy,22.2
02108,02,Bourguignon-sous-Montbavin,14.3
02109,02,La Bouteille,12.0
02110,02,Braine,9.2
02111,02,Brancourt-en-Laonnois,10.1
02112,02,Brancourt-le-Grand,8.5
02114,02,Brasles,4.4
02115,02,Braye-en-Laonnois,0.0
02116,02,Braye-en-Thiérache,0.0
02117,02,Bray-Saint-Christophe,25.0
02118,02,Braye,15.4
02119,02,Brécy,9.1
02120,02,Brenelle,11.1
02121,02,Breny,12.5
02122,02,Brie,14.3
02123,02,Brissay-Choigny,9.7
02124,02,Brissy-Hamégicourt,4.3
02125,02,Brumetz,5.6
02126,02,Brunehamel,12.3
02127,02,Bruyères-sur-Fère,5.0
02128,02,Bruyères-et-Montbérault,5.3
02129,02,Bruys,50.0
02130,02,Bucilly,0.0
02131,02,Bucy-le-Long,4.7
02132,02,Bucy-lès-Cerny,5.3
02133,02,Bucy-lès-Pierrepont,4.3
02134,02,Buire,4.5
02135,02,Buironfosse,6.1
02136,02,Burelles,21.4
02137,02,Bussiares,0.0
02138,02,Buzancy,0.0
02139,02,Caillouël-Crépigny,7.0
02140,02,Camelin,11.9
02141,02,La Capelle,10.0
02142,02,Castres,0.0
02143,02,Le Catelet,0.0
02144,02,Caulaincourt,10.0
02145,02,Caumont,7.5
02146,02,Celles-lès-Condé,0.0
02147,02,La Celle-sous-Montmirail,0.0
02148,02,Celles-sur-Aisne,16.0
02149,02,Cerizy,40.0
02150,02,Cerny-en-Laonnois,14.3
02151,02,Cerny-lès-Bucy,7.7
02152,02,Cerseuil,0.0
02153,02,Cessières,12.8
02154,02,Chacrise,11.5
02155,02,Chaillevois,13.0
02156,02,Chalandry,4.3
02157,02,Chambry,2.7
02158,02,Chamouille,9.1
02159,02,Champs,3.4
02160,02,Chaourse,10.9
02161,02,La Chapelle-Monthodon,0.0
02162,02,La Chapelle-sur-Chézy,8.3
02163,02,Charly-sur-Marne,10.3
02164,02,Le Charmel,3.3
02165,02,Charmes,10.5
02166,02,Chartèves,13.1
02167,02,Chassemy,7.7
02168,02,Château-Thierry,11.6
02169,02,Châtillon-lès-Sons,0.0
02170,02,Châtillon-sur-Oise,7.1
02171,02,Chaudardes,22.2
02172,02,Chaudun,9.1
02173,02,Chauny,12.1
02174,02,Chavignon,13.5
02175,02,Chavigny,7.1
02176,02,Chavonne,6.7
02177,02,Chérêt,8.3
02178,02,Chermizy-Ailles,0.0
02179,02,Chéry-Chartreuve,2.8
02180,02,Chéry-lès-Pouilly,6.0
02181,02,Chéry-lès-Rozoy,9.1
02182,02,Chevennes,15.4
02183,02,Chevregny,0.0
02184,02,Chevresis-Monceau,6.3
02185,02,Chézy-en-Orxois,6.7
02186,02,Chézy-sur-Marne,8.6
02187,02,Chierry,5.9
02188,02,Chigny,6.3
02189,02,Chivres-en-Laonnois,5.6
02190,02,Chivres-Val,5.6
02191,02,Chivy-lès-Étouvelles,14.0
02192,02,Chouy,0.0
02193,02,Cierges,0.0
02194,02,Cilly,4.5
02195,02,Ciry-Salsogne,5.3
02196,02,Clacy-et-Thierret,0.0
02197,02,Clairfontaine,4.8
02198,02,Clamecy,4.5
02199,02,Clastres,10.2
02200,02,Clermont-les-Fermes,0.0
02201,02,Cœuvres-et-Valsery,5.6
02203,02,Coincy,4.8
02204,02,Coingt,9.1
02205,02,Colligis-Crandelain,0.0
02206,02,Colonfay,0.0
02207,02,Commenchon,15.0
02208,02,Concevreux,4.2
02209,02,Condé-en-Brie,6.8
02210,02,Condé-sur-Aisne,7.1
02211,02,Condé-sur-Suippe,0.0
02212,02,Condren,2.7
02213,02,Connigis,0.0
02214,02,Contescourt,0.0
02215,02,Corbeny,6.8
02216,02,Corcy,10.0
02217,02,Coucy-le-Château-Auffrique,13.9
02218,02,Coucy-lès-Eppes,3.3
02219,02,Coucy-la-Ville,5.9
02220,02,Coulonges-Cohan,2.3
02221,02,Coupru,0.0
02222,02,Courbes,0.0
02223,02,Courboin,8.3
02224,02,Courcelles-sur-Vesle,15.2
02225,02,Courchamps,12.5
02226,02,Courmelles,11.9
02227,02,Courmont,8.5
02228,02,Courtemont-Varennes,11.5
02229,02,Courtrizy-et-Fussigny,12.5
02230,02,Couvrelles,9.5
02231,02,Couvron-et-Aumencourt,15.9
02232,02,Coyolles,0.0
02233,02,Cramaille,0.0
02234,02,Craonne,0.0
02235,02,Craonnelle,0.0
02236,02,Crécy-au-Mont,3.9
02237,02,Crécy-sur-Serre,4.2
02238,02,Crépy,9.9
02239,02,Crézancy,7.1
02240,02,Croix-Fonsomme,4.3
02241,02,La Croix-sur-Ourcq,0.0
02242,02,Crouttes-sur-Marne,7.6
02243,02,Crouy,10.7
02244,02,Crupilly,0.0
02245,02,Cuffies,5.9
02246,02,Cugny,6.9
02248,02,Cuirieux,18.8
02249,02,Cuiry-Housse,0.0
02250,02,Cuiry-lès-Chaudardes,0.0
02251,02,Cuiry-lès-Iviers,0.0
02252,02,Cuissy-et-Geny,0.0
02253,02,Cuisy-en-Almont,11.8
02254,02,Cutry,0.0
02255,02,Cys-la-Commune,0.0
02256,02,Dagny-Lambercy,6.7
02257,02,Dallon,7.1
02258,02,Dammard,2.5
02259,02,Dampleux,10.5
02260,02,Danizy,11.5
02261,02,Dercy,6.1
02262,02,Deuillet,5.9
02263,02,Dhuizel,0.0
02264,02,Dizy-le-Gros,14.8
02265,02,Dohis,0.0
02266,02,Dolignon,0.0
02267,02,Dommiers,8.8
02268,02,Domptin,11.3
02269,02,Dorengt,6.3
02270,02,Douchy,26.7
02271,02,Dravegny,6.7
02272,02,Droizy,0.0
02273,02,Dury,5.3
02274,02,Ébouleau,5.3
02275,02,Effry,8.8
02276,02,Englancourt,0.0
02277,02,Épagny,9.4
02278,02,Éparcy,0.0
02279,02,Épaux-Bézu,7.0
02280,02,Épieds,13.3
02281,02,L'Épine-aux-Bois,5.1
02282,02,Eppes,9.5
02283,02,Erlon,21.7
02284,02,Erloy,0.0
02286,02,Esquéhéries,10.1
02287,02,Essigny-le-Grand,8.2
02288,02,Essigny-le-Petit,5.3
02289,02,Essises,2.8
02290,02,Essômes-sur-Marne,7.1
02291,02,Estrées,9.8
02292,02,Étampes-sur-Marne,3.9
02293,02,Étaves-et-Bocquiaux,7.0
02294,02,Étouvelles,4.5
02295,02,Étréaupont,4.3
02296,02,Étreillers,7.1
02297,02,Étrépilly,0.0
02298,02,Étreux,9.0
02299,02,Évergnicourt,5.4
02301,02,Faucoucourt,19.4
02302,02,Faverolles,7.4
02303,02,Fayet,7.2
02304,02,La Fère,14.4
02305,02,Fère-en-Tardenois,10.6
02306,02,La Ferté-Chevresis,4.2
02307,02,La Ferté-Milon,8.0
02308,02,Fesmy-le-Sart,12.5
02309,02,Festieux,7.0
02310,02,Fieulaine,7.4
02311,02,Filain,0.0
02312,02,La Flamengrie,9.4
